,om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
6,7,1950,1,26,1/26/50,18:00:00,3,TX,48,1,2,2,0,0,0,26.88,-98.12,26.88,-98.05,4.7,133,1,1,1,47,0,0,0,0
7,8,1950,2,11,2/11/50,13:10:00,3,TX,48,2,2,0,0,4,0,29.42,-95.25,29.52,-95.13,9.9,400,1,1,1,39,0,0,0,0
8,9,1950,2,11,2/11/50,13:50:00,3,TX,48,3,3,12,1,4,0,29.67,-95.05,29.83,-95,12,1000,1,1,1,201,0,0,0,0
9,10,1950,2,11,2/11/50,21:00:00,3,TX,48,4,2,5,0,5,0,32.35,-95.2,32.42,-95.2,4.6,100,1,1,1,423,0,0,0,0
10,11,1950,2,11,2/11/50,23:55:00,3,TX,48,5,2,6,0,5,0,32.98,-94.63,33,-94.7,4.5,67,1,1,1,67,343,0,0,0
11,12,1950,2,12,2/12/50,0:30:00,3,TX,48,6,2,8,1,4,0,33.33,-94.42,33.45,-94.42,8,833,1,1,1,37,0,0,0,0
12,13,1950,2,12,2/12/50,1:15:00,3,TX,48,7,1,0,0,4,0,32.08,-98.35,32.1,-98.33,2.3,233,1,1,1,143,0,0,0,0
13,14,1950,2,12,2/12/50,6:10:00,3,TX,48,8,2,0,0,4,0,31.52,-96.55,31.57,-96.55,3.4,100,1,1,1,293,0,0,0,0
14,15,1950,2,12,2/12/50,11:57:00,3,TX,48,9,1,32,0,5,0,31.8,-94.2,31.88,-94.12,7.7,100,1,1,1,419,0,0,0,0
17,18,1950,2,12,2/12/50,12:00:00,3,TX,48,10,3,15,3,5,0,31.8,-94.2,31.8,-94.18,1.9,50,1,1,1,419,0,0,0,0
58,59,1950,4,28,4/28/50,18:00:00,3,TX,48,11,4,5,5,5,0,32.42,-99.5,32.42,-99.48,1.3,233,1,1,1,59,0,0,0,0
62,63,1950,4,29,4/29/50,15:30:00,3,TX,48,12,1,0,0,4,0,31.9,-98.6,31.73,-98.6,11.5,200,1,1,1,93,0,0,0,0
73,74,1950,5,4,5/4/50,20:30:00,3,TX,48,13,2,13,1,5,0,36.4,-100.8,36.42,-100.77,1.9,50,1,1,1,357,0,0,0,0
100,101,1950,5,14,5/14/50,16:00:00,3,TX,48,14,1,0,0,3,0,29.53,-95.45,0,0,1,100,1,1,1,157,0,0,0,0
103,104,1950,5,15,5/15/50,0:01:00,3,TX,48,15,2,0,0,4,0,29.78,-98.83,29.67,-98.57,18,10,1,1,1,259,0,0,0,0
117,118,1950,5,25,5/25/50,16:30:00,3,TX,48,16,1,0,0,3,0,32.67,-101.88,32.65,-101.85,3,880,1,1,1,115,0,0,0,0
119,120,1950,5,29,5/29/50,17:00:00,3,TX,48,17,1,0,0,0,0,33.35,-96.92,33.3,-96.92,3.4,267,1,1,1,121,0,0,0,0
127,128,1950,6,5,6/5/50,15:55:00,3,TX,48,18,3,6,0,5,0,30.18,-96.4,30.02,-96.05,23.9,67,1,1,1,477,0,0,0,0
128,129,1950,6,5,6/5/50,16:00:00,3,TX,48,19,1,2,0,6,0,29.9,-96.4,29.72,-96.07,23.7,10,1,1,1,15,0,0,0,0
143,144,1950,6,19,6/19/50,20:40:00,3,TX,48,20,0,0,0,0,0,36.08,-102.53,36.08,-102.25,15.8,167,1,1,1,205,0,0,0,0
216,16,1951,3,28,3/28/51,5:10:00,3,TX,48,1,1,0,0,3,0,31.37,-95.6,0,0,0.5,17,1,1,1,225,0,0,0,0
222,22,1951,4,20,4/20/51,15:10:00,3,TX,48,2,2,0,0,4,0,33.92,-98.45,0,0,1.5,17,1,1,1,485,0,0,0,0
250,50,1951,5,9,5/9/51,17:00:00,3,TX,48,3,2,0,0,4,0,33.93,-98.68,33.93,-98.77,4.9,33,1,1,1,485,0,0,0,0
263,63,1951,5,15,5/15/51,18:30:00,3,TX,48,4,1,0,0,2,0,34.5,-102.3,0,0,0.1,10,1,1,1,69,0,0,0,0
266,66,1951,5,18,5/18/51,15:45:00,3,TX,48,5,4,100,2,6,0,33.42,-98.75,0,0,2,200,1,1,1,503,0,0,0,0
283,83,1951,5,24,5/24/51,17:00:00,3,TX,48,6,1,0,1,3,0,33.37,-99.9,0,0,0.5,20,1,1,1,207,0,0,0,0
300,100,1951,5,31,5/31/51,16:00:00,3,TX,48,7,1,0,0,4,0,35.77,-101.38,0,0,0.5,17,1,1,1,233,0,0,0,0
310,110,1951,6,6,6/6/51,18:20:00,3,TX,48,8,1,0,0,4,0,35.23,-101.82,0,0,0.1,10,1,1,1,375,0,0,0,1
311,111,1951,6,6,6/6/51,18:50:00,3,TX,48,9,0,0,0,1,0,35.62,-101.47,0,0,0.1,10,1,1,1,65,0,0,0,1
318,118,1951,6,6,6/6/51,20:06:00,3,TX,48,10,3,12,0,5,0,35.43,-101.18,35.32,-101.07,10.4,100,1,1,1,65,0,0,0,0
319,119,1951,6,6,6/6/51,20:40:00,3,TX,48,11,0,0,0,3,0,35.55,-100.97,0,0,0.1,10,1,1,1,179,0,0,0,0
320,120,1951,6,6,6/6/51,20:50:00,3,TX,48,12,2,0,0,5,0,34.43,-100.2,34.43,-100.13,3.6,1760,1,1,1,75,0,0,0,0
341,141,1951,6,15,6/15/51,22:20:00,3,TX,48,13,1,6,0,5,0,32.45,-100.02,32.45,-99.93,4.9,20,1,1,1,441,0,0,0,0
342,142,1951,6,16,6/16/51,0:30:00,3,TX,48,14,2,0,0,4,0,32.45,-97.42,32.45,-97.17,14.5,20,1,1,1,251,0,0,0,0
